Grams,Amount,Type
118,high,beef
117,high,beef
111,high,beef
107,high,beef
104,high,beef
102,high,beef
100,high,beef
87,high,beef
81,high,beef
73,high,beef
120,high,pork
108,high,pork
105,high,pork
102,high,pork
102,high,pork
98,high,pork
96,high,pork
94,high,pork
91,high,pork
79,high,pork
111,high,cereal
98,high,cereal
95,high,cereal
92,high,cereal
88,high,cereal
86,high,cereal
82,high,cereal
77,high,cereal
74,high,cereal
56,high,cereal
95,low,beef
90,low,beef
90,low,beef
90,low,beef
86,low,beef
78,low,beef
76,low,beef
72,low,beef
64,low,beef
51,low,beef
106,low,pork
97,low,pork
86,low,pork
82,low,pork
82,low,pork
81,low,pork
73,low,pork
70,low,pork
61,low,pork
49,low,pork
107,low,cereal
98,low,cereal
97,low,cereal
95,low,cereal
89,low,cereal
80,low,cereal
74,low,cereal
74,low,cereal
67,low,cereal
58,low,cereal